lattice_type,a1x,a1y,a2x,a2y,hole_radius_a,eps_bg,polarization,band_index,k_index,k_label,s_value,frequency,extremum_type,curvature_a,linear_b,quad_residual,gap_below,gap_above,kx_frac,ky_frac,mode,plot_file
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,2.00000000,TM,3,38,M,1.00000000,0.59611353,min,3.19198739,0.00352730,4.06346506e-07,0.08132451,0.52340245,,,path,bands_r0.265_eps2.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,2.00000000,TM,4,0,Γ,0.00000000,0.79301125,min,3.57872760,0.05287476,5.21647051e-08,0.05546522,0.23807880,,,path,bands_r0.265_eps2.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,2.00000000,TM,7,38,M,1.00000000,1.17726850,min,0.53855284,0.05934513,5.07943090e-06,0.05215932,0.00000000,,,path,bands_r0.265_eps2.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,5.50000000,TM,3,38,M,1.00000000,0.40843928,min,1.32354156,0.00002521,1.51836657e-08,0.09263695,0.26715095,,,path,bands_r0.265_eps5.50.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,5.50000000,TM,4,0,Γ,0.00000000,0.50659310,min,1.56313027,0.00965661,1.99691788e-09,0.05261333,0.12485043,,,path,bands_r0.265_eps5.50.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,5.50000000,TM,4,57,Γ,1.70710678,0.50659310,min,1.07726922,-0.03432670,3.68046243e-08,0.05261333,0.12485043,,,path,bands_r0.265_eps5.50.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,5.50000000,TM,5,0,Γ,0.00000000,0.63144353,max,-1.43201650,-0.03472936,1.80005571e-08,0.12485043,0.03481906,,,path,bands_r0.265_eps5.50.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,5.50000000,TM,5,19,X,0.50000000,0.58609125,min,1.20832876,0.06856086,4.82789973e-07,0.04558042,0.09606076,,,path,bands_r0.265_eps5.50.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,5.50000000,TM,5,57,Γ,1.70710678,0.63144353,max,-1.33288167,0.05096829,6.68967026e-08,0.12485043,0.03481906,,,path,bands_r0.265_eps5.50.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,9.00000000,TM,3,38,M,1.00000000,0.32843463,min,0.95482421,-0.00006291,6.16733247e-09,0.08065591,0.19977975,,,path,bands_r0.265_eps9.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,9.00000000,TM,4,0,Γ,0.00000000,0.39987490,min,1.14208947,0.00615092,8.20269591e-10,0.04357288,0.09526085,,,path,bands_r0.265_eps9.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,9.00000000,TM,4,19,X,0.50000000,0.42630395,max,-0.52189053,-0.07852132,7.37434310e-07,0.04225559,0.03863462,,,path,bands_r0.265_eps9.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,9.00000000,TM,4,57,Γ,1.70710678,0.39987490,min,0.80504687,-0.02340965,1.78646052e-08,0.04357288,0.09526085,,,path,bands_r0.265_eps9.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,9.00000000,TM,5,0,Γ,0.00000000,0.49513575,max,-1.08344987,-0.02293359,8.29235494e-09,0.09526085,0.02949624,,,path,bands_r0.265_eps9.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,9.00000000,TM,5,19,X,0.50000000,0.46493856,min,0.77885967,0.05058552,2.91070510e-07,0.03863462,0.06978233,,,path,bands_r0.265_eps9.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,9.00000000,TM,5,57,Γ,1.70710678,0.49513575,max,-0.98989482,0.03493628,3.32159742e-08,0.09526085,0.02949625,,,path,bands_r0.265_eps9.00.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,12.50000000,TM,1,19,X,0.50000000,0.16895811,min,1.30799210,-0.07620566,4.18820271e-07,0.02322363,0.15285301,,,path,bands_r0.265_eps12.50.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,12.50000000,TM,3,38,M,1.00000000,0.28211239,min,0.78195439,-0.00007338,3.73908231e-09,0.07153034,0.16612223,,,path,bands_r0.265_eps12.50.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,12.50000000,TM,4,0,Γ,0.00000000,0.34063680,min,0.94208278,0.00479513,5.00816067e-10,0.03779579,0.08004976,,,path,bands_r0.265_eps12.50.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,12.50000000,TM,4,19,X,0.50000000,0.36310263,max,-0.41891507,-0.06398579,4.99884947e-07,0.03697800,0.03373452,,,path,bands_r0.265_eps12.50.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,12.50000000,TM,4,57,Γ,1.70710678,0.34063680,min,0.66980674,-0.01877583,1.16744083e-08,0.03779579,0.08004976,,,path,bands_r0.265_eps12.50.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,12.50000000,TM,5,0,Γ,0.00000000,0.42068657,max,-0.90518099,-0.01811547,5.28217235e-09,0.08004976,0.02585255,,,path,bands_r0.265_eps12.50.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,12.50000000,TM,5,19,X,0.50000000,0.39683715,min,0.60162558,0.04213436,2.09966738e-07,0.03373452,0.05739626,,,path,bands_r0.265_eps12.50.png
square,1.00000000,0.00000000,0.00000000,1.00000000,0.26500000,12.50000000,TM,5,57,Γ,1.70710678,0.42068656,max,-0.82156061,0.02805735,2.19037364e-08,0.08004976,0.02585254,,,path,bands_r0.265_eps12.50.png
